method,severity,column,rmse,mae,r2,computation_time_sec
temporal_linear,10,PM2.5,14.283340262835818,7.475683159722222,0.9678136192916186,0.5921256000001449
temporal_linear,10,PM10,24.5892763450741,13.262030124772483,0.9300554178093362,0.5921256000001449
temporal_linear,10,SO2,5.148639182782918,1.9782406668236077,0.9417384372018693,0.5921256000001449
temporal_linear,10,NO2,7.985348805946374,5.018856463881637,0.9477498496788537,0.5921256000001449
temporal_linear,10,CO,283.5216219739085,123.72833311498317,0.9395122830724182,0.5921256000001449
temporal_linear,10,O3,11.06808168684612,5.896006492409999,0.9614114726783373,0.5921256000001449
temporal_seasonal,10,PM2.5,79.50146461026793,58.800724671987425,0.0028446161822850424,0.4792288999997254
temporal_seasonal,10,PM10,92.02149415216189,67.95987852196983,0.02041721122098583,0.4792288999997254
temporal_seasonal,10,SO2,21.202164848970657,14.131167298926504,0.011998443777653245,0.4792288999997254
temporal_seasonal,10,NO2,32.38997595097255,25.297333365614396,0.14035129565315196,0.4792288999997254
temporal_seasonal,10,CO,1140.1162419943212,779.4226462003066,0.021877862068743426,0.4792288999997254
temporal_seasonal,10,O3,49.78437856356078,37.76680652029431,0.2192721460487913,0.4792288999997254
temporal_linear,20,PM2.5,15.216646997664517,7.910493046776232,0.9633489613013388,0.5943523000023561
temporal_linear,20,PM10,25.77190279611962,14.132586613419642,0.9195898611236523,0.5943523000023561
temporal_linear,20,SO2,5.326648379962355,2.156720265989241,0.937822895702391,0.5943523000023561
temporal_linear,20,NO2,8.894828254502256,5.4933519138266185,0.9358587516190436,0.5943523000023561
temporal_linear,20,CO,276.7745255315091,130.2333908568873,0.9424230014200877,0.5943523000023561
temporal_linear,20,O3,11.975865810797272,6.439720517685135,0.9547328752243622,0.5943523000023561
temporal_seasonal,20,PM2.5,79.33979676596833,58.860825069557094,0.0036073324130432294,0.505011100001866
temporal_seasonal,20,PM10,90.01058428838807,67.19922969397196,0.019144561114384784,0.505011100001866
temporal_seasonal,20,SO2,21.225490246597236,14.15391629329101,0.012725559792810204,0.505011100001866
temporal_seasonal,20,NO2,32.599188692684905,25.40927755891011,0.138459182472081,0.505011100001866
temporal_seasonal,20,CO,1143.8593499226215,783.9778439325166,0.016573187389272714,0.505011100001866
temporal_seasonal,20,O3,49.5591882678929,37.690523463536536,0.22479344384491806,0.505011100001866
temporal_linear,30,PM2.5,16.440361644135457,8.568264676843624,0.9582367085515952,0.590532099999109
temporal_linear,30,PM10,27.301355942763905,14.861093109370751,0.9119132130817736,0.590532099999109
temporal_linear,30,SO2,5.539241042520167,2.3339702970384884,0.9323778947335633,0.590532099999109
temporal_linear,30,NO2,9.280013029616635,5.845081028940722,0.9297434660587596,0.590532099999109
temporal_linear,30,CO,300.01497936646655,141.84118967002178,0.9338164884912475,0.590532099999109
temporal_linear,30,O3,12.986882806069694,7.0668244891101875,0.9480147716084559,0.590532099999109
temporal_seasonal,30,PM2.5,80.33055197498085,59.27982891173402,0.0029120035722786097,0.5105340000009164
temporal_seasonal,30,PM10,91.09666861714298,67.48863015418385,0.01927482211948295,0.5105340000009164
temporal_seasonal,30,SO2,21.172467599587875,14.119325864109017,0.012058763539980588,0.5105340000009164
temporal_seasonal,30,NO2,32.57818618143621,25.423329662401965,0.1341486264538002,0.5105340000009164
temporal_seasonal,30,CO,1156.657182906042,790.098830887465,0.016276047283557915,0.5105340000009164
temporal_seasonal,30,O3,50.27010082715441,37.92866075464824,0.22108579160885333,0.5105340000009164
temporal_linear,40,PM2.5,17.8215822462818,9.32962833089716,0.9509137552054294,0.6065605000003416
temporal_linear,40,PM10,29.633265215520534,16.11731244648179,0.8963582222493186,0.6065605000003416
temporal_linear,40,SO2,6.0676231147389394,2.553602395946551,0.9186551463121918,0.6065605000003416
temporal_linear,40,NO2,10.1882013080597,6.4150602520489715,0.9158866704071145,0.6065605000003416
temporal_linear,40,CO,324.3326866373303,154.99563187749825,0.9213869825397174,0.6065605000003416
temporal_linear,40,O3,14.043957968679361,7.937715672164891,0.9385009346183911,0.6065605000003416
temporal_seasonal,40,PM2.5,80.35166109489012,59.23889902643105,0.002168961309766404,0.49752250000165077
temporal_seasonal,40,PM10,91.28524486007043,67.72320592862944,0.01649401401520323,0.49752250000165077
temporal_seasonal,40,SO2,21.16819353514447,14.12677504357357,0.009942351675107375,0.49752250000165077
temporal_seasonal,40,NO2,32.691637315184146,25.450826874529145,0.13394966532371455,0.49752250000165077
temporal_seasonal,40,CO,1148.0042456633719,786.640670213551,0.015082133478973359,0.49752250000165077
temporal_seasonal,40,O3,50.09105948349131,37.93607396063571,0.21763410761381807,0.49752250000165077
temporal_linear,50,PM2.5,19.285701799269976,10.291392249575335,0.9414054986448859,0.7343761000011
temporal_linear,50,PM10,31.860285027102073,17.492956872360693,0.8789545300534081,0.7343761000011
temporal_linear,50,SO2,6.536531657985234,2.866922556821353,0.9058503159255862,0.7343761000011
temporal_linear,50,NO2,11.294384583278237,7.186426680817483,0.8959759502276055,0.7343761000011
temporal_linear,50,CO,354.5891157764888,172.27377058695146,0.906177261923045,0.7343761000011
temporal_linear,50,O3,16.051949816813288,9.13028867721359,0.9198565994635153,0.7343761000011
temporal_seasonal,50,PM2.5,79.67502706622336,59.160510395558894,-7.001826598074246e-05,0.46741240000119433
