method,model,accuracy_score,robustness_score,efficiency_score,scenario,composite_score,rank,pareto_frontier,label
temporal,xgboost,0.9998424124177374,1.0,0.9605853161157342,equal,0.9868092428444906,1,True,temporal-xgboost
temporal,lightgbm,1.0,0.9853555431940677,0.9605853161157342,equal,0.9819802864366005,2,True,temporal-lightgbm
spatial,xgboost,0.8204240320643927,0.8330457903569375,0.3898099144002153,equal,0.6810932456071818,3,False,spatial-xgboost
spatial,lightgbm,0.8228398091216184,0.8105199897938171,0.3898099144002153,equal,0.6743899044385502,4,False,spatial-lightgbm
spatiotemporal,xgboost,0.6504112274367169,0.5849342869883873,0.0,equal,0.4117818381417014,5,False,spatiotemporal-xgboost
spatiotemporal,lightgbm,0.6462433557547231,0.5857769625734877,0.0,equal,0.41067343944273693,6,False,spatiotemporal-lightgbm
native,lightgbm,0.021240659798565598,0.033045546951743,1.0,equal,0.3514287355834362,7,True,native-lightgbm
native,xgboost,0.0,0.0,1.0,equal,0.3333333333333333,8,False,native-xgboost
