method,model,severity,seed,rmse,mae,r2,train_time_sec
spatiotemporal,lightgbm,20,3,24.627892083534018,14.787507471405,0.9088917636041587,2.4196733999997377
spatiotemporal,lightgbm,20,4,24.525860632884367,14.780677609175248,0.9096451085827382,2.2871549999981653
spatiotemporal,lightgbm,20,5,24.508733422055492,14.78299327538116,0.9097712600726628,2.4227296999997634
spatiotemporal,lightgbm,30,1,26.17046609746377,15.610713700165382,0.8971211570500951,2.0742361999982677
spatiotemporal,lightgbm,30,2,26.459438373863847,15.668289097156393,0.8948366530803732,2.060867199998029
spatiotemporal,lightgbm,30,3,26.390289742765024,15.643436311292486,0.8953855989233575,2.042138699998759
spatiotemporal,lightgbm,30,4,26.30003877665079,15.630349935798433,0.8960999075945304,2.0795932000000903
spatiotemporal,lightgbm,30,5,26.31285030727742,15.630377393007155,0.8959986572928759,2.1747231999979704
spatiotemporal,lightgbm,40,1,28.360431358621238,16.95863989610293,0.8791827850002258,2.1508001999973203
spatiotemporal,lightgbm,40,2,28.159793932531876,16.906566149328324,0.8808861941991537,1.9531184999977995
spatiotemporal,lightgbm,40,3,28.4134918502674,16.95841034049094,0.8787302800527593,2.05158289999963
spatiotemporal,lightgbm,40,4,28.191842078675165,16.912759934836867,0.8806149174342458,2.04321169999821
spatiotemporal,lightgbm,40,5,28.27530343627671,16.94990050529994,0.8799069970218204,2.018445400000928
spatiotemporal,lightgbm,50,1,30.750572861514048,18.55602977368071,0.857960355144632,1.7899951000035799
spatiotemporal,lightgbm,50,2,30.757035093915515,18.53069707230115,0.8579006496134842,1.7398178999974334
spatiotemporal,lightgbm,50,3,30.664956101790352,18.55285081077535,0.8587501969928961,1.9643254000002344
spatiotemporal,lightgbm,50,4,30.744149526867663,18.589418938348505,0.8580196888608549,1.9447457999995095
spatiotemporal,lightgbm,50,5,30.738162105647557,18.548296413218075,0.8580749847895287,1.7547616999981983
spatiotemporal,xgboost,10,1,23.318021886796032,14.051536170667198,0.9183254844053952,4.529023999999481
spatiotemporal,xgboost,10,2,23.411471319775462,14.06759286607267,0.9176695341616788,4.294995199998084
spatiotemporal,xgboost,10,3,23.494646217790535,14.094316876935505,0.9170834973179158,4.277563499999815
spatiotemporal,xgboost,10,4,23.35051505347546,14.034320613406415,0.9180977024166146,4.386519199997565
spatiotemporal,xgboost,10,5,23.293310093829643,14.029488661212783,0.918498505448779,4.135287099998095
spatiotemporal,xgboost,20,1,24.555242736392778,14.719153845702593,0.909428487681743,3.7129792000014277
spatiotemporal,xgboost,20,2,24.666479695037314,14.750525627943832,0.9086060385064972,3.6218754000001354
spatiotemporal,xgboost,20,3,24.690270970056925,14.758483484828718,0.9084296511570091,3.829554600000847
spatiotemporal,xgboost,20,4,24.55933547631412,14.725114825463162,0.9093982931900692,3.726308200002677
spatiotemporal,xgboost,20,5,24.635660535157555,14.698854748051707,0.9088342774375336,3.6530396999987715
spatiotemporal,xgboost,30,1,26.129216060162364,15.549390276812982,0.8974452178885362,3.666132700000162
spatiotemporal,xgboost,30,2,26.121211901479462,15.559266781542041,0.8975080394458408,3.3120394999968994
spatiotemporal,xgboost,30,3,26.130666875401182,15.515286332978294,0.897433828938247,3.235990299999685
spatiotemporal,xgboost,30,4,26.12785290643948,15.494744574479338,0.8974559181166719,3.5415815000014845
spatiotemporal,xgboost,30,5,26.122312314858736,15.510291455866021,0.8974994038663958,3.0548210999986622
spatiotemporal,xgboost,40,1,28.342461020726358,16.865292508111047,0.8793358460233193,2.8593044000008376
spatiotemporal,xgboost,40,2,28.139538102611844,16.88019940148963,0.881057493835155,2.7412345000011555
spatiotemporal,xgboost,40,3,28.150953976873083,16.870263189601904,0.8809609671531613,2.6824048000016774
spatiotemporal,xgboost,40,4,28.192800184002436,16.868626027291743,0.8806068026450841,2.8393866999977035
spatiotemporal,xgboost,40,5,28.195446909984653,16.869536356186032,0.8805843844455091,2.97484120000081
spatiotemporal,xgboost,50,1,30.785679844944745,18.527742567208325,0.8576358454195347,2.739981499998976
spatiotemporal,xgboost,50,2,30.7063078532539,18.51756988970827,0.8583689888816421,2.772963499999605
spatiotemporal,xgboost,50,3,30.798233332645903,18.50598935704294,0.8575197179830507,2.428032700001495
spatiotemporal,xgboost,50,4,30.85630599791282,18.51706786096771,0.8569818942387317,2.4290022000022873
spatiotemporal,xgboost,50,5,30.762143551836942,18.51741564246315,0.8578534429283645,2.4876059999987774
temporal,lightgbm,10,1,22.135683124777458,13.67180218191758,0.926398101869081,2.4657643000027747
temporal,lightgbm,10,2,22.4407813903073,13.680402582387114,0.9243551952513194,2.417461299999559
temporal,lightgbm,10,3,22.42301458879333,13.697602940992454,0.924474926751405,2.483730799998739
temporal,lightgbm,10,4,22.286517402596388,13.715261223828922,0.9253916262182145,2.4570918000026722
temporal,lightgbm,10,5,22.2243038191159,13.667772415015742,0.9258075885274176,2.7717636999987008
temporal,lightgbm,20,1,22.786602995875167,13.838320807216045,0.922005796405315,2.7583346999999776
temporal,lightgbm,20,2,23.088974539577773,13.911853177616106,0.9199221423384601,2.417595099999744
temporal,lightgbm,20,3,23.003650591123098,13.855843500114936,0.9205128948058484,2.419194599999173
temporal,lightgbm,20,4,22.880808431991003,13.849135238530904,0.9213595687856564,2.756698900000629
temporal,lightgbm,20,5,22.810496394205686,13.842864668725452,0.9218421455438103,2.4815444000014395
temporal,lightgbm,30,1,22.81724805262927,13.97847573150309,0.9217958709495802,2.2000440999981947
temporal,lightgbm,30,2,23.130090961141608,14.030482181588955,0.9196366860421701,2.2174247999973886
temporal,lightgbm,30,3,23.055666731643054,13.977219591930456,0.9201530139221245,2.236927599999035
temporal,lightgbm,30,4,22.9534424834176,13.977918710553316,0.9208594956053572,2.0862988000008045
