method,model,mean_rmse,mean_mae,mean_r2,mean_train_time_sec,robustness_slope,mean_total_time_sec
native,lightgbm,32.32453422089538,19.239382636492426,0.8394622846229746,2.552982171999902,0.3447935989127844,3.3509027819998303
native,xgboost,32.51706931123906,19.274893276491426,0.8373865631413525,4.148823391999758,0.3544219919763128,3.3509027819998303
spatial,lightgbm,25.058471579811368,14.873673455567287,0.9052391648991346,2.0907697560000815,0.1182629397754751,4.55783984199923
spatial,xgboost,25.080369291952803,14.801845359469334,0.9051005448540685,3.343063928000338,0.1116996572185516,4.55783984199923
spatiotemporal,lightgbm,26.659222894780648,16.013318708991132,0.8922098924185338,2.162733251999598,0.1837457174557659,5.328871759999602
spatiotemporal,xgboost,26.62144339271039,15.93992279768136,0.8925047705412992,3.357298747999885,0.183991245598188,5.328871759999602
temporal,lightgbm,23.452610289270073,14.16064554162125,0.9172271191586927,2.1844037439998645,0.0673215699117715,3.4288638040005757
temporal,xgboost,23.454038735451864,14.088204344486646,0.9172114493645984,3.426145224000065,0.0630546535089264,3.4288638040005757
